id;phone;dob
U001;971542719583;02.01.1990
U002;058_510_8603;Apr-05-2004
U003;+1-415-555-2671;5.22.1997
U004;o522458591;09/09/01
U005;563341057;2003/07/01
U006;056_334_1057;22 Feb 2004
U007;+91-98765-43210;1978.03.07
U008;971-563-341057;07.Mar.1978
U009;0380 67 123 45 67;2001-09-09
U010;440207946o958;2/1/90
U011;+1 415 555 2671;July 1, 2003
U012;971522458591;2004/4/5
U013;14155552671;1990-01-02
U014;091-98765-43210;02-01-90
U015;+44-(0)20-7946-0958;4-5-2004
U016;054-271-9583;02-01-1990
U017;009715851086O3;04-5-2004
U018;+81-90-1234-5678;1985-07-20
U019;050.474.4854;22 Dec 1998
U020;542719583;2004 Apr 5
U021;007 916 123 45 67;2 Jan 1990
U022;+1 415 555 2671;19891124
U023;971563341057;14 Feb 1977
U024;971-522-458591;2004-04-05
U025;+1_415_555_2671;2004.04.05
U026;+91-98765-43210;4/5/04
U027;971542719583;01.07.03
U028;+7-916-123-45-67;9.27.1990
U029;+9715851o8603;5.Apr.2004
U030;+81-90-1234-5678;5-9-83
U031;971563341057;19900102
U032;o0971589o0O0O0;01/02/1990
U033;(056) 334 1057;02/01/1990
U034;058-900-0000;02_01_1990
U035;+81-90-1234-5678;02-jan-1990
U036;+971-58-900-0000;31/12/1989
U037;(052) 245 8591;7-3-78
U038;052-245-8591;12-31-1989
U039;056-334-1057;05.04.04
U040;058.900.000o;1 July 2003
U041;+91-98765-43210;05-APR-2004
U042;+91-98765-43210;05/Apr/04
U043;+380.67.123.45.67;4-05-2004
U044;504744854;07 03 1978
U045;058_900_0000;Jan 2, 1990
U046;+44 (0)20 7946 0958;05-apr-04
U047;+380 67 123 45 67;1990/01/02
U048;+49_1512_3456789;04-05-2004
U049;+49.1512.3456789;05_04_2004
U050;522458591;feb 29, 2000
